source,img_idx,model,noise_idx,mse_t1,mse_t11,mse_t21,mse_t31,mse_t41,mse_t51,mse_t61,mse_t71,mse_t81,mse_t91,mse_t101,mse_t111,mse_t121,mse_t131,mse_t141,mse_t151,mse_t161,mse_t171,mse_t181,mse_t191,mse_t201,mse_t211,mse_t221,mse_t231,mse_t241
SD1.3,3,SD1.4,16,0.8876953125,0.6850585938,0.6005859375,0.5473632812,0.5097656250,0.4797363281,0.4550781250,0.4335937500,0.4150390625,0.3989257812,0.3840332031,0.3703613281,0.3576660156,0.3461914062,0.3352050781,0.3247070312,0.3149414062,0.3059082031,0.2971191406,0.2885742188,0.2802734375,0.2719726562,0.2644042969,0.2568359375,0.2495117188
SD1.3,3,SD1.4,17,0.8828125000,0.6782226562,0.5947265625,0.5415039062,0.5048828125,0.4760742188,0.4516601562,0.4306640625,0.4118652344,0.3957519531,0.3811035156,0.3674316406,0.3547363281,0.3435058594,0.3325195312,0.3225097656,0.3129882812,0.3039550781,0.2956542969,0.2871093750,0.2792968750,0.2714843750,0.2641601562,0.2565917969,0.2495117188
SD1.3,3,SD1.4,18,0.8691406250,0.6733398438,0.5917968750,0.5405273438,0.5039062500,0.4753417969,0.4514160156,0.4311523438,0.4135742188,0.3986816406,0.3850097656,0.3728027344,0.3613281250,0.3508300781,0.3408203125,0.3315429688,0.3225097656,0.3142089844,0.3061523438,0.2980957031,0.2905273438,0.2827148438,0.2756347656,0.2680664062,0.2607421875
SD1.3,3,SD1.4,19,0.8964843750,0.6894531250,0.6044921875,0.5512695312,0.5136718750,0.4831542969,0.4580078125,0.4365234375,0.4174804688,0.4011230469,0.3862304688,0.3723144531,0.3591308594,0.3476562500,0.3366699219,0.3264160156,0.3166503906,0.3073730469,0.2985839844,0.2897949219,0.2814941406,0.2734375000,0.2661132812,0.2587890625,0.2517089844
SD1.3,3,SD1.4,20,0.8813476562,0.6787109375,0.5932617188,0.5395507812,0.5019531250,0.4721679688,0.4470214844,0.4255371094,0.4072265625,0.3918457031,0.3781738281,0.3657226562,0.3542480469,0.3444824219,0.3349609375,0.3264160156,0.3183593750,0.3107910156,0.3034667969,0.2956542969,0.2880859375,0.2805175781,0.2734375000,0.2661132812,0.2590332031
SD1.3,3,SD1.4,21,0.8715820312,0.6699218750,0.5878906250,0.5366210938,0.5004882812,0.4719238281,0.4484863281,0.4282226562,0.4104003906,0.3947753906,0.3806152344,0.3671875000,0.3544921875,0.3432617188,0.3322753906,0.3220214844,0.3122558594,0.3032226562,0.2946777344,0.2861328125,0.2780761719,0.2700195312,0.2629394531,0.2553710938,0.2482910156
SD1.3,3,SD1.4,22,0.8779296875,0.6840820312,0.6005859375,0.5478515625,0.5107421875,0.4819335938,0.4575195312,0.4365234375,0.4179687500,0.4016113281,0.3867187500,0.3730468750,0.3601074219,0.3486328125,0.3374023438,0.3271484375,0.3173828125,0.3081054688,0.2993164062,0.2907714844,0.2824707031,0.2744140625,0.2673339844,0.2597656250,0.2526855469
SD1.3,3,SD1.4,23,0.8974609375,0.6894531250,0.6035156250,0.5493164062,0.5112304688,0.4814453125,0.4570312500,0.4357910156,0.4169921875,0.4008789062,0.3862304688,0.3728027344,0.3601074219,0.3488769531,0.3378906250,0.3276367188,0.3178710938,0.3088378906,0.3002929688,0.2917480469,0.2836914062,0.2758789062,0.2690429688,0.2617187500,0.2548828125
SD1.3,3,SD1.4,24,0.8916015625,0.6923828125,0.6093750000,0.5546875000,0.5161132812,0.4855957031,0.4602050781,0.4384765625,0.4194335938,0.4028320312,0.3876953125,0.3740234375,0.3610839844,0.3496093750,0.3383789062,0.3281250000,0.3183593750,0.3093261719,0.3005371094,0.2919921875,0.2836914062,0.2756347656,0.2680664062,0.2602539062,0.2529296875
SD1.3,3,SD1.4,25,0.8730468750,0.6762695312,0.5952148438,0.5439453125,0.5073242188,0.4777832031,0.4533691406,0.4326171875,0.4147949219,0.3996582031,0.3859863281,0.3732910156,0.3613281250,0.3508300781,0.3405761719,0.3305664062,0.3212890625,0.3122558594,0.3037109375,0.2949218750,0.2866210938,0.2783203125,0.2707519531,0.2629394531,0.2556152344
